num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 283.203µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |    nei3 |    nei4 |    nei5 |   valid |     ret |    call |
190 |     123 |     115 |     178 |     107 |     132 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
191 |     123 |     132 |     107 |     184 |      75 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
192 |     123 |      75 |     107 |      76 |      77 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
193 |     123 |      76 |     107 |     105 |     106 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
194 |     123 |     106 |     107 |      42 |     131 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
195 |     123 |      42 |     131 |      43 |      44 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
196 |     123 |      43 |     131 |      33 |      68 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
197 |     123 |      33 |      68 |      34 |      35 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
198 |     123 |      34 |      68 |      67 |      68 |      69 |       0 |       0 |       0 |       1 |       0 |       0 |
199 |     123 |      68 |     131 |     142 |     131 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
200 |     123 |     131 |     107 |     232 |     233 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
201 |     123 |     233 |     107 |     232 |     130 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
202 |     123 |     130 |     107 |     143 |     144 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
203 |     123 |     144 |     107 |     147 |     148 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
204 |     123 |     147 |     107 |     149 |     150 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
205 |     123 |     150 |     107 |     149 |     148 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
206 |     123 |     148 |     107 |     151 |     152 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
207 |     123 |     152 |     107 |     157 |     158 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
208 |     123 |     158 |     107 |     163 |     164 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
209 |     123 |     164 |     107 |     174 |     175 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
210 |     123 |     174 |     107 |     169 |     181 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
211 |     123 |     181 |     107 |      39 |     124 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
212 |     123 |      39 |     124 |      40 |      41 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
213 |     123 |      41 |     124 |      73 |      74 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
214 |     123 |      74 |     124 |     126 |     127 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
215 |     123 |     127 |     124 |     128 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
216 |     123 |     128 |     124 |     140 |     141 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
217 |     123 |     141 |     124 |     139 |     124 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
218 |     123 |     124 |     107 |      78 |     197 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
219 |     123 |      78 |     107 |     107 |     108 |     109 |     110 |     111 |     112 |       1 |       0 |       0 |
220 |     123 |     107 |     178 |     217 |     218 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
221 |     123 |     217 |     178 |     218 |     219 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
222 |     123 |     218 |     178 |     220 |     178 |     221 |       0 |       0 |       0 |       1 |       0 |       0 |
223 |     123 |     178 |     112 |     228 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
224 |     123 |     228 |     112 |      78 |     229 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
225 |     123 |      78 |     112 |     107 |     108 |     109 |     110 |     111 |     112 |       1 |       0 |       0 |
226 |     123 |     112 |     107 |     198 |     199 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
227 |     123 |     198 |     107 |     200 |     201 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
228 |     123 |     200 |     107 |     202 |     201 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
229 |     123 |     202 |     107 |     205 |     206 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
230 |     123 |     205 |     107 |     169 |      78 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
231 |     123 |      78 |     107 |     107 |     108 |     109 |     110 |     111 |     112 |       1 |       0 |       0 |
232 |     123 |     107 |     220 |     217 |     218 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
233 |     123 |     218 |     220 |     220 |     178 |     221 |       0 |       0 |       0 |       1 |       0 |       0 |
234 |     123 |     220 |     245 |     272 |     273 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
235 |     123 |     273 |     245 |     252 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
